动作类型,流程,状态
轴回原,上下料Z轴,检测
轴回原,焊接Z轴,检测
轴回原,上下料X轴,不检测
轴回原,焊接X轴,不检测
延时,延时,2000
检测原点状态,上下料X轴,检测原点状态
检测原点状态,焊接X轴,检测原点状态
